
100
300
7	53
25	1
2	5
17	64
44	92
47	85
33	41
35	29
8	68
21	87
45	58
47	3
35	8
6	26
42	78
41	11
11	69
16	77
27	91
29	22
17	35
42	48
46	3
47	6
17	84
44	33
17	13
33	56
50	28
16	20
24	6
9	32
30	88
5	4
3	89
10	55
37	94
37	15
37	20
1	72
35	60
2	94
45	61
1	31
34	37
33	42
50	29
13	13
29	14
39	24
13	48
42	3
30	63
15	74
41	86
31	39
34	95
22	92
46	4
50	73
16	71
8	8
27	50
17	87
8	44
50	70
43	91
4	78
2	56
47	65
48	76
48	23
21	54
9	100
1	92
47	95
9	31
1	82
40	81
26	23
11	38
27	90
22	22
26	28
7	56
46	79
40	7
3	43
2	56
25	77
42	49
22	11
45	40
32	51
39	15
34	55
38	14
19	55
30	57
29	68
34	32
18	98
35	45
20	57
45	89
34	5
15	13
6	9
19	86
21	20
42	19
15	91
47	58
31	23
47	89
46	55
35	54
40	52
1	29
14	55
38	97
49	50
49	98
46	43
24	54
34	49
32	41
8	77
34	45
42	36
36	21
47	45
45	21
45	26
20	48
7	34
31	25
18	65
37	68
3	72
22	19
28	82
38	74
18	91
7	47
5	23
21	38
7	30
32	54
44	95
38	32
29	90
26	4
14	22
7	89
4	91
2	53
12	19
28	89
1	50
26	97
47	68
47	31
48	42
31	76
36	49
20	91
33	26
42	35
16	49
2	83
26	97
24	24
28	11
45	66
7	74
49	58
1	39
4	8
27	80
22	31
44	66
28	13
15	48
39	41
49	22
44	41
26	94
28	93
49	63
19	33
25	55
15	51
29	91
19	17
28	46
5	63
1	11
6	28
43	94
50	10
22	8
9	4
15	17
3	51
43	68
26	27
21	49
12	94
42	1
12	23
8	14
25	77
43	68
48	82
41	45
24	58
4	60
1	55
12	8
37	47
38	99
28	99
12	19
30	33
32	97
7	97
32	93
12	4
17	77
30	31
10	45
37	26
24	14
42	58
45	45
15	95
48	91
15	10
45	99
35	76
29	27
6	23
20	26
43	37
7	26
42	73
22	82
35	53
13	98
4	17
11	41
41	37
11	27
45	63
21	23
17	89
20	27
15	66
18	99
46	30
43	94
28	86
42	71
44	39
31	20
37	21
37	12
18	73
28	78
26	78
17	96
24	6
16	49
1	32
47	94
48	69
4	43
7	62
8	73
24	44
41	47
27	65
36	14
26	1
49	65
44	83
50	93
42	83
3	36
50	8
33	68
21	62
37	91
2	67
49	80
16	57
34	28
11	57
15	35
